,name,date,county,size,%_contained,high_temp,low_temp,high_humidity,low_humidity,wind_speed,wind_gust,fuel_temp,fuel_moisture,max_radiation,peak_wind_direction
240,Pine Fire,9/11/2017,Monterey,43,100,80.0,55.333333333333336,73.0,17.666666666666668,2.2671000000000006,4.796600000000003,22.199900000000017,10.618000000000004,220.13,202.02
241,Lockwood Fire,6/29/2017,Monterey,42,100,88.33333333333333,50.333333333333336,86.33333333333333,21.5,1.882800000000001,3.8668999999999976,19.833700000000007,8.573,346.31,251.87
242,Reservation Fire,7/16/2017,Monterey,40,100,103.16666666666667,63.0,55.0,12.333333333333334,2.450399999999999,4.989099999999999,27.10519999999999,3.594,330.99,198.02
243,Shore Fire,6/16/2017,Monterey,32,100,94.5,56.666666666666664,75.0,21.0,2.3833,4.5818,28.0554,6.993000000000003,328.96,196.05
244,Pleyto Fire,6/11/2017,Monterey,32,100,73.66666666666667,46.333333333333336,85.0,34.0,3.5854999999999997,6.848399999999998,15.377300000000005,13.195999999999994,268.47,254.02
245,York Fire,10/15/2017,Monterey,31,100,89.0,47.166666666666664,49.5,8.333333333333334,2.6548999999999983,5.109500000000001,21.3449,3.994999999999999,164.56,142.22
246,Nacimiento Fire,5/14/2017,Monterey,20,100,68.0,39.5,88.0,29.833333333333332,3.4778000000000016,6.397399999999999,11.422100000000007,15.473999999999998,250.88,294.51
247,Pine Fire,5/16/2017,Monterey,18,100,69.0,40.166666666666664,92.0,39.5,3.2596,6.2231999999999985,15.404999999999994,12.966999999999995,291.12,236.04
248,Alvarado Fire,6/28/2017,Monterey,15,100,88.5,50.166666666666664,91.83333333333333,27.333333333333332,2.0033000000000016,4.0053,19.822500000000005,8.35,348.11,237.31
249,Hog Fire,6/9/2017,Monterey,14,100,78.66666666666667,57.5,90.0,37.666666666666664,3.6654999999999998,6.968999999999999,13.894200000000001,13.162999999999995,224.55,282.26
250,Lonoak Fire,5/17/2017,Monterey,17,100,70.83333333333333,47.166666666666664,92.66666666666667,35.333333333333336,3.232600000000001,6.267900000000002,18.566200000000002,10.621999999999998,321.22,205.24
251,Soledad Fire,4/24/2017,Monterey,10,100,70.83333333333333,43.833333333333336,93.33333333333333,40.333333333333336,3.326299999999999,6.053000000000001,12.355300000000005,17.483999999999995,207.38,294.66
252,Slinkard Fire,8/29/2017,Mono,8925,100,66.75,43.75,38.25,10.125,2.0966000000000005,5.056400000000002,18.9056,8.106,195.72,171.34
253,Chris Fire,11/13/2017,Mono,370,100,46.25,27.0,30.125,9.0,4.5555,10.768899999999999,5.8274,9.622,88.68,198.63
